Ticket purchase time,Phone Number,Ticket price,no of tickets,Type of tikcet
"Nov 4, 2022  12:44:38",8945946587,90,5,return
"Nov 4, 2022  12:45:04",9442133273,20,1,one way
"Nov 4, 2022  14:15:48",9503661102,5,1,one way
"Nov 4, 2022  15:40:36",7939127415,9,1,return
"Nov 4, 2022  16:34:28",8927382785,5,1,one way
"Nov 4, 2022  16:40:22",7724987249,20,1,one way
"Nov 4, 2022  16:55:47",8616217884,36,4,return
"Nov 4, 2022  17:24:17",8391275401,20,1,one way
"Nov 4, 2022  18:22:45",7997898131,5,1,one way
"Nov 4, 2022  18:53:08",7964902427,20,1,one way
"Nov 4, 2022  19:22:39",8603831547,10,1,one way
"Nov 4, 2022  20:00:06",7394810561,20,1,one way
"Nov 4, 2022  20:00:23",7151772188,20,1,one way
"Nov 4, 2022  20:38:24",7874428168,5,1,one way
"Nov 4, 2022  21:05:28",6737064255,30,3,one way
"Nov 4, 2022  21:49:58",6999934065,20,1,one way
"Nov 5, 2022  01:06:23",7229988560,36,4,return
"Nov 5, 2022  01:35:37",6804355214,5,1,one way
"Nov 5, 2022  03:23:11",8439593615,36,4,return
"Nov 5, 2022  03:24:12",9043594718,20,1,one way
"Nov 5, 2022  03:30:23",8091315040,20,1,one way
"Nov 5, 2022  03:57:27",8360117245,10,1,one way
"Nov 5, 2022  04:12:26",9179558676,9,1,return
"Nov 5, 2022  04:35:11",9589149412,20,1,one way
"Nov 5, 2022  04:44:41",7422146603,10,1,one way
"Nov 5, 2022  06:45:39",8451631808,10,1,one way
"Nov 5, 2022  06:54:43",9258837300,5,1,one way
"Nov 5, 2022  08:01:32",6839623019,30,3,one way
"Nov 5, 2022  08:05:08",7766041633,10,1,one way
"Nov 5, 2022  08:19:58",9564723181,5,1,one way
"Nov 5, 2022  09:40:54",8240208148,20,1,one way
"Nov 5, 2022  09:47:57",9508603062,30,3,one way
"Nov 5, 2022  09:51:33",9357744240,10,1,one way
"Nov 5, 2022  09:55:18",7236053748,30,3,one way
"Nov 5, 2022  10:22:39",7020508814,5,1,one way
"Nov 5, 2022  11:45:53",6932818923,5,1,one way
"Nov 5, 2022  12:01:35",7367646433,25,5,one way
"Nov 5, 2022  12:04:19",9086439924,90,5,return
"Nov 5, 2022  12:10:05",7216960743,20,1,one way
"Nov 5, 2022  13:39:39",7086902598,30,3,one way
"Nov 5, 2022  13:41:23",9363983734,10,1,one way
"Nov 5, 2022  13:47:25",9350895027,20,1,one way
"Nov 5, 2022  14:25:18",8254779751,10,1,one way
"Nov 5, 2022  14:51:56",8453315880,20,1,one way
"Nov 5, 2022  15:49:58",8364877440,216,6,return
"Nov 5, 2022  16:01:21",9363259118,30,3,one way
"Nov 5, 2022  16:26:24",8212897238,10,1,one way
"Nov 5, 2022  16:47:43",7235920086,10,1,one way
"Nov 5, 2022  17:02:15",9374139816,5,1,one way
"Nov 5, 2022  17:36:32",9244647005,30,3,one way
"Nov 5, 2022  17:56:59",7819532433,10,1,one way
"Nov 5, 2022  18:09:04",6959703521,10,1,one way
"Nov 5, 2022  19:00:55",8053688539,5,1,one way
"Nov 5, 2022  19:24:40",7154751741,90,5,return
"Nov 5, 2022  19:38:12",9750467904,36,4,return
"Nov 5, 2022  19:44:24",7751010968,10,1,one way
"Nov 5, 2022  20:26:53",7350174611,5,1,one way
"Nov 5, 2022  21:16:25",8245188911,20,1,one way
"Nov 5, 2022  21:53:17",6593663567,5,1,one way
"Nov 5, 2022  21:53:43",6617938771,10,1,one way
"Nov 5, 2022  22:19:12",9628014286,20,1,one way
"Nov 5, 2022  22:47:25",6702886001,90,5,return
"Nov 6, 2022  01:19:12",7452819177,10,1,one way
"Nov 6, 2022  01:19:12",6720138789,36,2,return
"Nov 6, 2022  01:42:58",7525769683,10,1,one way
"Nov 6, 2022  02:23:25",9644882344,10,1,one way
"Nov 6, 2022  03:01:52",8711341702,20,1,one way
"Nov 6, 2022  03:40:19",8364003593,216,6,return
"Nov 6, 2022  03:43:47",9220802346,36,2,return
"Nov 6, 2022  03:49:58",7118576652,108,3,return
"Nov 6, 2022  04:23:23",8165371098,80,4,one way
"Nov 6, 2022  04:41:31",7756999003,9,1,return
"Nov 6, 2022  04:43:15",9699182568,10,1,one way
"Nov 6, 2022  04:53:28",7486086393,60,6,one way
"Nov 6, 2022  05:29:37",8021999247,30,3,one way
"Nov 6, 2022  05:33:56",6960593128,108,3,return
"Nov 6, 2022  05:37:15",6766673031,20,1,one way
"Nov 6, 2022  05:44:44",8446969854,10,1,one way
"Nov 6, 2022  06:53:17",6868489854,5,1,one way
"Nov 6, 2022  06:55:52",6696079108,9,1,return
"Nov 6, 2022  07:24:40",6819212221,10,1,one way
"Nov 6, 2022  07:53:37",8187247651,10,1,one way
"Nov 6, 2022  08:22:16",8145925520,20,1,one way
"Nov 6, 2022  08:25:18",9161725690,80,4,one way
"Nov 6, 2022  08:37:15",9442177626,10,1,one way
"Nov 6, 2022  08:43:35",9162198202,25,5,one way
"Nov 6, 2022  09:14:24",9122877706,5,1,one way
"Nov 6, 2022  10:28:34",8928226436,36,2,return
"Nov 6, 2022  10:36:12",9799772809,36,2,return
"Nov 6, 2022  10:43:49",7113386622,10,1,one way
"Nov 6, 2022  12:13:32",9221269390,5,1,one way
"Nov 6, 2022  12:51:42",9392290772,5,1,one way
"Nov 6, 2022  13:04:13",7357969579,5,1,one way
"Nov 6, 2022  14:15:04",8797729429,10,1,one way
"Nov 6, 2022  14:25:00",9485352813,36,4,return
"Nov 6, 2022  14:29:28",6896031720,5,1,one way
"Nov 6, 2022  14:30:37",7430561703,20,1,one way
"Nov 6, 2022  14:56:33",7333170107,5,1,one way
"Nov 6, 2022  15:19:44",8430329235,216,6,return
"Nov 6, 2022  16:10:25",9722731519,216,6,return
"Nov 6, 2022  16:32:36",7463361811,10,1,one way
"Nov 6, 2022  17:13:47",9164894049,20,1,one way
"Nov 6, 2022  17:49:12",7610416020,20,1,one way
"Nov 6, 2022  18:50:07",6699721259,10,1,one way
"Nov 6, 2022  19:29:17",9173449395,5,1,one way
"Nov 6, 2022  19:34:28",7774672832,20,1,one way
"Nov 6, 2022  19:35:20",8079279699,20,1,one way
"Nov 6, 2022  20:06:26",9639114827,20,1,one way
"Nov 6, 2022  20:56:41",7050299618,5,1,one way
"Nov 6, 2022  21:08:04",9734811275,90,5,return
"Nov 6, 2022  21:21:53",8836382887,5,1,one way
"Nov 6, 2022  21:33:59",7524889432,20,1,one way
"Nov 6, 2022  21:50:15",8226125382,10,1,one way
"Nov 6, 2022  21:51:42",9499252634,10,1,one way
"Nov 6, 2022  22:10:16",6881633177,108,3,return
"Nov 6, 2022  22:40:57",7250477998,5,1,one way
"Nov 7, 2022  01:02:56",7298725056,36,2,return
"Nov 7, 2022  01:27:59",8210436781,36,2,return
"Nov 7, 2022  01:36:29",8578832181,20,1,one way
"Nov 7, 2022  01:43:58",7275928371,90,5,return
"Nov 7, 2022  01:49:18",9822180768,5,1,one way
"Nov 7, 2022  02:18:32",8837656698,10,1,one way
"Nov 7, 2022  02:31:38",8350617203,5,1,one way
"Nov 7, 2022  02:33:22",7298402378,20,1,one way
"Nov 7, 2022  03:30:14",8711853706,10,1,one way
"Nov 7, 2022  03:57:53",9606295113,10,1,one way
"Nov 7, 2022  05:05:51",7854171105,36,4,return
"Nov 7, 2022  06:04:54",9101886869,5,1,one way
"Nov 7, 2022  06:33:42",7835970174,30,3,one way
"Nov 7, 2022  06:34:25",9100166646,5,1,one way
"Nov 7, 2022  06:37:26",8794722042,10,1,one way
"Nov 7, 2022  06:40:28",7592667251,36,4,return
"Nov 7, 2022  06:42:46",7816752904,20,1,one way
"Nov 7, 2022  06:50:59",8314565482,108,3,return
"Nov 7, 2022  07:20:47",8874501788,5,1,one way
"Nov 7, 2022  07:36:03",9694767149,20,1,one way
"Nov 7, 2022  07:47:43",7041378283,10,1,one way
"Nov 7, 2022  09:16:08",7102824502,20,1,one way
"Nov 7, 2022  09:26:38",7182647989,108,3,return
"Nov 7, 2022  09:39:10",9240897444,20,1,one way
"Nov 7, 2022  09:41:11",8164687518,5,1,one way
"Nov 7, 2022  09:57:27",6962376970,108,3,return
"Nov 7, 2022  11:14:12",8459414386,5,1,one way
"Nov 7, 2022  11:49:47",7631655302,10,1,one way
"Nov 7, 2022  12:02:10",8212728504,20,1,one way
"Nov 7, 2022  12:13:24",9495318278,10,1,one way
"Nov 7, 2022  12:20:10",9824950166,5,1,one way
"Nov 7, 2022  12:23:28",8749631892,108,3,return
"Nov 7, 2022  12:31:58",7519042806,10,1,one way
"Nov 7, 2022  12:46:13",7884711273,5,1,one way
"Nov 7, 2022  13:25:49",9521470090,5,1,one way
"Nov 7, 2022  13:30:52",9388746702,10,1,one way
"Nov 7, 2022  13:35:54",9415562979,5,1,one way
"Nov 7, 2022  13:58:13",9785657994,216,6,return
"Nov 7, 2022  14:47:20",7141796013,5,1,one way
"Nov 7, 2022  16:37:38",9271887576,20,1,one way
"Nov 7, 2022  16:59:23",6712536015,10,1,one way
"Nov 7, 2022  17:27:19",8443276645,20,1,one way
"Nov 7, 2022  17:45:01",8981165332,36,4,return
"Nov 7, 2022  18:42:29",9615945291,36,2,return
"Nov 7, 2022  18:45:22",9233316506,5,1,one way
"Nov 7, 2022  18:54:35",7283969902,108,3,return
"Nov 7, 2022  18:57:01",7568990912,216,6,return
"Nov 7, 2022  19:11:51",7389626124,10,1,one way
"Nov 7, 2022  19:25:41",9152090726,20,1,one way
"Nov 7, 2022  19:37:12",8584189511,20,1,one way
"Nov 7, 2022  19:47:25",7615271951,36,4,return
"Nov 7, 2022  20:09:01",8805115794,10,1,one way
"Nov 7, 2022  20:12:37",8282830249,5,1,one way
"Nov 7, 2022  20:50:30",8239062171,20,1,one way
"Nov 7, 2022  21:42:37",6862246795,9,1,return
"Nov 7, 2022  22:02:30",7684582430,5,1,one way
"Nov 7, 2022  22:35:46",7639917966,10,2,one way
"Nov 7, 2022  22:40:57",9531202415,10,1,one way
"Nov 7, 2022  22:46:16",7100134210,10,1,one way
"Nov 8, 2022  01:10:25",7022600350,10,1,one way
"Nov 8, 2022  01:41:05",8214175977,5,1,one way
"Nov 8, 2022  01:46:16",8615168320,5,1,one way
"Nov 8, 2022  02:42:35",9375520550,108,3,return
"Nov 8, 2022  02:49:12",8261063298,10,1,one way
"Nov 8, 2022  02:57:50",9657093061,108,3,return
"Nov 8, 2022  03:07:21",8644811159,20,1,one way
"Nov 8, 2022  03:35:08",8300115707,20,1,one way
"Nov 8, 2022  03:52:08",9695268498,20,1,one way
"Nov 8, 2022  04:33:01",9285009849,80,4,one way
"Nov 8, 2022  04:49:52",7763790198,20,1,one way
"Nov 8, 2022  06:08:04",8182012905,60,6,one way
"Nov 8, 2022  06:09:04",7184704168,10,1,one way
"Nov 8, 2022  06:36:52",7875744667,10,1,one way
"Nov 8, 2022  07:35:46",7478514889,5,1,one way
"Nov 8, 2022  07:38:30",8127027793,10,1,one way
"Nov 8, 2022  07:41:31",9850923604,20,1,one way
"Nov 8, 2022  08:49:55",9219226468,20,1,one way
"Nov 8, 2022  09:18:43",9667011782,20,1,one way
"Nov 8, 2022  10:10:16",7114245769,20,1,one way
"Nov 8, 2022  10:42:40",9850670281,20,1,one way
"Nov 8, 2022  11:36:49",9258606765,20,1,one way
"Nov 8, 2022  12:04:54",7917912682,5,1,one way
"Nov 8, 2022  12:26:04",9096613139,5,1,one way
"Nov 8, 2022  12:54:43",8350963420,5,1,one way
"Nov 8, 2022  13:45:33",7761903401,10,1,one way
"Nov 8, 2022  13:50:36",8343288473,20,1,one way
"Nov 8, 2022  14:12:46",8195251953,20,1,one way
"Nov 8, 2022  14:20:24",7956860955,9,1,return
"Nov 8, 2022  15:45:39",6959072381,10,1,one way
"Nov 8, 2022  16:31:52",8690518773,5,1,one way
"Nov 8, 2022  16:36:37",7658492958,5,1,one way
"Nov 8, 2022  16:42:14",7131550259,60,6,one way
"Nov 8, 2022  16:44:50",7915270485,20,1,one way
"Nov 8, 2022  16:53:11",7561752795,5,1,one way
"Nov 8, 2022  16:56:12",7408592679,20,1,one way
"Nov 8, 2022  17:06:17",6946301338,5,1,one way
"Nov 8, 2022  17:27:45",9508511724,5,1,one way
"Nov 8, 2022  17:43:09",6899007160,10,1,one way
"Nov 8, 2022  17:43:26",9050939239,36,2,return
"Nov 8, 2022  17:45:19",7313615936,10,1,one way
"Nov 8, 2022  17:49:29",6586247208,90,5,return
"Nov 8, 2022  17:50:38",7721088535,20,1,one way
"Nov 8, 2022  18:06:20",8472701411,5,1,one way
"Nov 8, 2022  18:58:02",8225150624,5,1,one way
"Nov 8, 2022  19:24:58",7536950116,10,1,one way
"Nov 8, 2022  19:26:15",6871686827,20,1,one way
"Nov 8, 2022  19:33:19",7448533754,10,1,one way
"Nov 8, 2022  22:23:48",9588776780,9,1,return
"Nov 8, 2022  22:27:16",7511736430,5,1,one way
"Nov 8, 2022  22:33:45",9047843948,60,6,one way
"Nov 8, 2022  22:48:35",7350830967,5,1,one way
"Nov 9, 2022  01:49:18",9084201600,5,1,one way
"Nov 9, 2022  02:35:57",7611266379,80,4,one way
"Nov 9, 2022  03:06:46",9062423949,108,3,return
"Nov 9, 2022  03:14:41",7553741813,10,1,one way
"Nov 9, 2022  03:34:34",9141010883,10,1,one way
"Nov 9, 2022  03:58:02",7859355908,216,6,return
"Nov 9, 2022  04:17:37",9387082934,5,1,one way
"Nov 9, 2022  04:33:45",7801020322,20,1,one way
"Nov 9, 2022  05:10:36",8829145132,10,1,one way
"Nov 9, 2022  05:51:39",7306936647,20,1,one way
"Nov 9, 2022  05:56:50",9851554288,5,1,one way
"Nov 9, 2022  07:22:39",6799074639,10,1,one way
"Nov 9, 2022  08:26:53",7512284709,36,4,return
"Nov 9, 2022  08:29:54",9696556910,10,1,one way
"Nov 9, 2022  08:49:12",8881425723,10,1,one way
"Nov 9, 2022  08:49:55",9231473512,5,1,one way
"Nov 9, 2022  08:59:08",7936981405,20,1,one way
"Nov 9, 2022  09:46:05",8220126011,10,1,one way
"Nov 9, 2022  09:50:33",7056621215,5,1,one way
"Nov 9, 2022  10:03:39",8495925211,10,1,one way
"Nov 9, 2022  10:56:21",7887385497,80,4,one way
"Nov 9, 2022  11:18:14",8786185566,20,1,one way
"Nov 9, 2022  11:40:16",7576836621,5,1,one way
"Nov 9, 2022  11:50:21",9410947719,20,1,one way
"Nov 9, 2022  12:15:24",9055862433,20,1,one way
"Nov 9, 2022  12:59:37",8117641157,20,1,one way
"Nov 9, 2022  13:31:09",7047356447,20,1,one way
"Nov 9, 2022  14:33:30",7205564934,5,1,one way
"Nov 9, 2022  15:28:57",6795860610,5,1,one way
"Nov 9, 2022  15:36:26",9752990740,30,3,one way
"Nov 9, 2022  15:45:48",8548497883,20,1,one way
"Nov 9, 2022  15:55:18",9758329355,216,6,return
"Nov 9, 2022  16:54:12",7981563113,5,1,one way
"Nov 9, 2022  17:36:49",8341348666,90,5,return
"Nov 9, 2022  17:53:48",8727559909,25,5,one way
"Nov 9, 2022  19:12:00",6994517024,20,1,one way
"Nov 9, 2022  20:44:53",7893320906,20,1,one way
"Nov 9, 2022  21:27:30",7090923165,20,1,one way
"Nov 9, 2022  21:29:05",7543970292,10,1,one way
"Nov 9, 2022  22:31:18",8954906820,90,5,return
"Nov 10, 2022  01:00:55",9664748705,90,5,return
"Nov 10, 2022  01:36:12",9134632325,10,1,one way
"Nov 10, 2022  02:08:01",7146781194,10,1,one way
"Nov 10, 2022  02:47:54",7245420017,36,4,return
"Nov 10, 2022  03:02:18",6902570693,5,1,one way
"Nov 10, 2022  03:05:20",8573479385,20,1,one way
"Nov 10, 2022  05:11:11",8829167771,20,1,one way
"Nov 10, 2022  05:55:41",9715982275,80,4,one way
"Nov 10, 2022  06:03:36",7568468409,5,1,one way
"Nov 10, 2022  06:25:21",6598143216,20,1,one way
"Nov 10, 2022  06:25:55",9171398864,10,1,one way
"Nov 10, 2022  06:30:58",9338720802,216,6,return
"Nov 10, 2022  08:21:50",9472902634,20,1,one way
"Nov 10, 2022  08:21:59",7044694750,20,1,one way
"Nov 10, 2022  08:53:48",7486325685,10,1,one way
"Nov 10, 2022  09:05:02",9433958537,20,1,one way
"Nov 10, 2022  09:16:16",8843505127,216,6,return
"Nov 10, 2022  10:08:59",7870189845,20,1,one way
"Nov 10, 2022  10:47:34",9272626496,25,5,one way
"Nov 10, 2022  11:02:07",7252680701,10,1,one way
"Nov 10, 2022  11:08:18",9404687253,36,2,return
"Nov 10, 2022  11:10:36",7676689251,80,4,one way
"Nov 10, 2022  11:40:16",7002463718,20,1,one way
"Nov 10, 2022  11:44:18",7250214871,5,1,one way
"Nov 10, 2022  11:51:30",9325964633,10,2,one way
"Nov 10, 2022  13:19:12",9179455200,5,1,one way
"Nov 10, 2022  13:37:38",8367479341,5,1,one way
"Nov 10, 2022  14:22:42",8437966140,108,3,return
"Nov 10, 2022  14:39:07",7377548125,80,4,one way
"Nov 10, 2022  15:02:36",9094646261,10,1,one way
"Nov 10, 2022  15:24:20",6756798233,10,2,one way
"Nov 10, 2022  15:26:56",6859811935,36,4,return
"Nov 10, 2022  16:40:22",6986851205,5,1,one way
"Nov 10, 2022  17:43:00",6699142989,36,2,return
"Nov 10, 2022  18:09:56",8592847320,5,1,one way
"Nov 10, 2022  18:28:31",7692790785,90,5,return
"Nov 10, 2022  18:31:49",7938750239,5,1,one way
"Nov 10, 2022  19:13:35",8226543737,20,1,one way
"Nov 10, 2022  19:33:27",8984193098,10,1,one way
"Nov 10, 2022  20:03:59",6923751253,20,1,one way
"Nov 10, 2022  20:09:19",7208331281,20,1,one way
"Nov 10, 2022  22:09:16",6940891458,5,1,one way
"Nov 11, 2022  01:34:45",7843246447,20,1,one way
"Nov 11, 2022  01:38:56",7588823825,20,1,one way
"Nov 11, 2022  02:01:24",8858765001,10,1,one way
"Nov 11, 2022  02:04:08",6827214591,20,1,one way
"Nov 11, 2022  02:15:56",7924948747,9,1,return
"Nov 11, 2022  02:19:15",7100826635,10,1,one way
"Nov 11, 2022  02:20:07",8895404021,5,1,one way
"Nov 11, 2022  03:00:26",7369287615,10,1,one way
"Nov 11, 2022  03:15:33",7465966759,5,1,one way
"Nov 11, 2022  03:15:42",7882601707,5,1,one way
